BioGro No;Licensee Name;Address;Input Name;Sub Type;Category;Expiry Date
5491;Kings Seeds NZ Ltd;"Wharawhara Road
189
Katikati 3178";Green Broccoli (Code - 4020);Seeds and Planting Stock;;30.09.2023
5491;Kings Seeds NZ Ltd;"Wharawhara Road
189
Katikati 3178";Green Komatsuna (Code - 4015.6);Seeds and Planting Stock;;30.09.2023
5530;Green Trading Co Ltd;"West Coast Road
650
Auckland, Oratia 0604";Green Trading Diatomaceous Earth Powder;Soil & Plant Nutrition;Mineral Fertiliser;30.06.2023
5530;Green Trading Co Ltd;"West Coast Road
650
Auckland, Oratia 0604";Green Trading Diatomaceous Earth Powder;Livestock Feed / Supplement;Supplement;30.06.2023
5991;Azwood Ltd;"Saxton Road
55
Nelson, Stoke 7011";Greenwaste Compost ;Soil & Plant Nutrition;Compost;31.07.2023
4432;Horticentre Ltd;"Firth Street
10
Auckland, Papakura 2113";GRO-B;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
2925;Agrinova NZ Ltd TA Gro-Chem;"Sunlight Grove
15
Porirua 5022";GRO-B;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";Gro-B (SKU# 1008488);Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4432;Horticentre Ltd;"Firth Street
10
Auckland, Papakura 2113";GRO-Calcium;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
2925;Agrinova NZ Ltd TA Gro-Chem;"Sunlight Grove
15
Porirua 5022";GRO-Calcium;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
2933;PGG Wrightson (Fruitfed Supplies);"Westwood Avenue
20
Blenheim, Springlands";GRO-Calcium;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
2925;Agrinova NZ Ltd TA Gro-Chem;"Sunlight Grove
15
Porirua 5022";Gro-Mn;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4432;Horticentre Ltd;"Firth Street
10
Auckland, Papakura 2113";GRO-Mn;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
2933;PGG Wrightson (Fruitfed Supplies);"Westwood Avenue
20
Blenheim, Springlands";Gro-Mn;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";Gro-Mn (SKU# 1008489);Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4850;Kiwicare Corporation Ltd;"Maces Road
225
Christchurch, Bromley 8062";Grosure Houseplant Insect Control Spray;Crop Management;Insecticide;31.07.2023
5153;Agraforum NZ Ltd;"Hinds Highway
445
Ashburton 7775";Grow Smart;Crop Management;;31.07.2023
5638;Southern Humates;"Cardigan Road
14
Wyndham, Sinclair Contracting 9321";Growth Booster;Soil & Plant Nutrition;Humate;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";GS nosode 30c;Livestock Treatment;Homeopathic Preparation;31.07.2023
5136;Remediation NZ Ltd TA Revital Fertilisers;"Waitara Road
96
New Plymouth 4382";Guano;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4969;Fernhill Limeworks Ltd;"Cooney Road
55
Winton 9782";Guano;Soil & Plant Nutrition;Animal Derived Fertiliser;31.07.2023
5115;Mainland Minerals Southern Ltd;"Stratford Street
3
Gore 9710";Guano;Soil & Plant Nutrition;Animal Derived Fertiliser;31.07.2023
5006;Rorisons RMD Ltd;"Orchard Road
605
Hastings 4120";Guano;Soil & Plant Nutrition;Animal Derived Fertiliser;31.07.2023
5006;Rorisons RMD Ltd;"Orchard Road
605
Hastings 4120";Guano;Soil & Plant Nutrition;Animal Derived Fertiliser;31.07.2023
5006;Rorisons RMD Ltd;"Orchard Road
605
Hastings 4120";Guano;Soil & Plant Nutrition;Animal Derived Fertiliser;31.07.2023
5082;Fertco 2016 Ltd;"Aviation Avenue
119
Mount Maunganui 3116";Guano FosSul ;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
2933;PGG Wrightson (Fruitfed Supplies);"Westwood Avenue
20
Blenheim, Springlands";Guano Phosphate;Soil & Plant Nutrition;Animal Derived Fertiliser;31.07.2023
6290;NL Trading Ltd;"Moncks Spur Road
71
Christchurch, Redcliffs 8081";Guano Phosphate;Soil & Plant Nutrition;Plant Derived Fertiliser;31.07.2023
5082;Fertco 2016 Ltd;"Aviation Avenue
119
Mount Maunganui 3116";Guano Phosphate;Soil & Plant Nutrition;Animal Derived Fertiliser;31.07.2023
4432;Horticentre Ltd;"Firth Street
10
Auckland, Papakura 2113";Guano Phosphate;Soil & Plant Nutrition;Animal Derived Fertiliser;31.07.2023
5622;Total Fert Ltd;"Finlayson Road
150
Kopuku, Maramarua 2471";Guano Phosphate;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
5480;Parker Lime Co Ltd;"Gibbons Road
270
Kaiwaka 0573";Guano Phosphate;Soil & Plant Nutrition;Animal Derived Fertiliser;31.07.2023
4993;Livestock Supplies NZ Ltd;"Oreti Street
6
Gore 9710";Guano Phosphate NGP;Soil & Plant Nutrition;Animal Derived Fertiliser;31.07.2023
171;Pacific BioFert Ltd;"Irish Road
21
Pokeno, State Highway 2 2471";Guano Phosphate P20;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4862;Fertilizer NZ Ltd;"Ranzau Road
52
Nelson, Hope 7020";Guano Phosphate Rock;Soil & Plant Nutrition;Animal Derived Fertiliser;31.07.2023
4862;Fertilizer NZ Ltd;"Ranzau Road
52
Nelson, Hope 7020";Guano Phosphate Rock;Soil & Plant Nutrition;Animal Derived Fertiliser;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Gunpowder 30c, 200c;Livestock Treatment;Homeopathic Preparation;31.07.2023
2933;PGG Wrightson (Fruitfed Supplies);"Westwood Avenue
20
Blenheim, Springlands";Gypsum;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
5082;Fertco 2016 Ltd;"Aviation Avenue
119
Mount Maunganui 3116";Gypsum;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4432;Horticentre Ltd;"Firth Street
10
Auckland, Papakura 2113";Gypsum;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
5622;Total Fert Ltd;"Finlayson Road
150
Kopuku, Maramarua 2471";Gypsum;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4862;Fertilizer NZ Ltd;"Ranzau Road
52
Nelson, Hope 7020";Gypsum;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
5480;Parker Lime Co Ltd;"Gibbons Road
270
Kaiwaka 0573";Gypsum;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4862;Fertilizer NZ Ltd;"Ranzau Road
52
Nelson, Hope 7020";Gypsum;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";Gypsum (SKU# 1019416, 1003645);Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4974;Kiwi Fertiliser Co Ltd;"Alexandra Street
1495
Te Awamutu 3800";Gypsum Clay Breaker;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4974;Kiwi Fertiliser Co Ltd;"Alexandra Street
1495
Te Awamutu 3800";Gypsum Clay Breaker;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4974;Kiwi Fertiliser Co Ltd;"Alexandra Street
1495
Te Awamutu 3800";Gypsum Clay Breaker;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
3860;Winstone Wallboards Ltd;"Felix Street
37
Auckland, Penrose 1061";Gypsum Clay Breaker;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
3860;Winstone Wallboards Ltd;"Felix Street
37
Auckland, Penrose 1061";Gypsum Clay Breaker;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
3860;Winstone Wallboards Ltd;"Felix Street
37
Auckland, Penrose 1061";Gypsum Raw Screened;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
3860;Winstone Wallboards Ltd;"Felix Street
37
Auckland, Penrose 1061";Gypsum Raw Screened;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
3860;Winstone Wallboards Ltd;"Felix Street
37
Auckland, Penrose 1061";Gypsum Soil Life;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
3860;Winstone Wallboards Ltd;"Felix Street
37
Auckland, Penrose 1061";Gypsum Soil Life;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Hamamelis 30c, 200c;Livestock Treatment;Homeopathic Preparation;31.07.2023
203;NZ Bio Grains Ltd;"Dobson St West
33
Ashburton 7700";Harry's Special Stock Feed (Domestic Market);Livestock Feed / Supplement;Feed;31.03.2023
5758;Hatuma Lime Company Ltd;"Maharakeke Road
520
Waipukurau, Waipukurau 4281";Hatuma Organic Agricultural Lime;Soil & Plant Nutrition;Other;31.07.2023
4871;AB Lime Ltd;"Bend Road
10
Winton, Kings Bend 9782";Healthy Cow Calcium Supplement (Calcium only);Livestock Feed / Supplement;Supplement;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";Healthy Cow Calcium Supplement (SKU# 1008799);Livestock Feed / Supplement;Supplement;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Hekla lava 30c;Livestock Treatment;Homeopathic Preparation;31.07.2023
433;Sustain-Ability TA EcoGrape Ltd;"View Mount
41
Nelson 7011";Helix Tosta D 6;Crop Management;Homeopathic Preparation;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Hepar sulphuris 9c, 30c, 200c;Livestock Treatment;Homeopathic Preparation;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Herbal AB;Livestock Treatment;Herbal remedies;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Herbal AB for Animals;Livestock Treatment;Herbal remedies;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Herbal Digestive Drench;Livestock Treatment;Homeopathic Preparation;31.07.2023
5491;Kings Seeds NZ Ltd;"Wharawhara Road
189
Katikati 3178";High Health Combo (Code - 4025);Seeds and Planting Stock;;30.09.2023
2933;PGG Wrightson (Fruitfed Supplies);"Westwood Avenue
20
Blenheim, Springlands";High P Phosphate;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4969;Fernhill Limeworks Ltd;"Cooney Road
55
Winton 9782";Hi-Mag (Dunite);Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
5563;Natural Sugars (New Zealand) Ltd;"Victoria Street West
62
Auckland, Central Business District 1010";Himalayan Organic Salt Block / Lick;Livestock Feed / Supplement;Supplement;31.07.2023
5113;Soil Health Ltd;"District Road
50
Invercargill, Kennington 9871";Himalayan Salt;Soil & Plant Nutrition;Salt;31.07.2023
5774;Liquid Fertiliser Pty;"Hovey Road
2
Gold Coast 4207";Hippo / Snowy Owl;Soil & Plant Nutrition;Microorganisms;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";"Hippozaenium nosode 30c, 200c
";Livestock Treatment;Homeopathic Preparation;31.07.2023
2925;Agrinova NZ Ltd TA Gro-Chem;"Sunlight Grove
15
Porirua 5022";HML 32;Crop Management;Fungicide;31.07.2023
4432;Horticentre Ltd;"Firth Street
10
Auckland, Papakura 2113";HML 32;Crop Management;Fungicide;31.07.2023
2933;PGG Wrightson (Fruitfed Supplies);"Westwood Avenue
20
Blenheim, Springlands";HML 32;Crop Management;Fungicide;31.07.2023
5079;Henry Manufacturing Ltd;"Clovelly Road
140
Auckland, Bucklands Beach 2013";HML 32;Crop Management;Fungicide;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";HML 32 (SKU# 1011284);Crop Management;Fungicide;31.07.2023
2925;Agrinova NZ Ltd TA Gro-Chem;"Sunlight Grove
15
Porirua 5022";HML Potum;Crop Management;Fungicide;31.07.2023
4432;Horticentre Ltd;"Firth Street
10
Auckland, Papakura 2113";HML Potum;Crop Management;Fungicide;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";HML Potum (SKU# 1022561);Crop Management;Fungicide;31.07.2023
2933;PGG Wrightson (Fruitfed Supplies);"Westwood Avenue
20
Blenheim, Springlands";HML Potum / Potassium Bicarbonate;Crop Management;Fungicide;31.07.2023
5079;Henry Manufacturing Ltd;"Clovelly Road
140
Auckland, Bucklands Beach 2013";HML Potum / Potassium Bicarbonate;Crop Management;Fungicide;31.07.2023
2933;PGG Wrightson (Fruitfed Supplies);"Westwood Avenue
20
Blenheim, Springlands";HML Silco;Crop Management;Pesticide;31.07.2023
4432;Horticentre Ltd;"Firth Street
10
Auckland, Papakura 2113";HML Silco;Crop Management;Pesticide;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";HML Silco (SKU# 1021969, 1023666, 1033422);Crop Management;Adjuvant;31.07.2023
2925;Agrinova NZ Ltd TA Gro-Chem;"Sunlight Grove
15
Porirua 5022";HML Silco powder;Crop Management;Fungicide;31.07.2023
5079;Henry Manufacturing Ltd;"Clovelly Road
140
Auckland, Bucklands Beach 2013";HML Silco powder/liquid;Crop Management;Adjuvant;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Hoof Combo;Livestock Treatment;Homeopathic Preparation;31.07.2023
5991;Azwood Ltd;"Saxton Road
55
Nelson, Stoke 7011";Hort Compost ;Soil & Plant Nutrition;Compost;31.07.2023
4547;Grosafe Chemicals Ltd;"Jean Batten Drive
20
Tauranga, Mount Manganui 3116";Hortcare Copper Hydroxide 300;Crop Management;Fungicide;31.07.2023
4432;Horticentre Ltd;"Firth Street
10
Auckland, Papakura 2113";Hortcare Copper Hydroxide 300;Crop Management;Fungicide;31.07.2023
4547;Grosafe Chemicals Ltd;"Jean Batten Drive
20
Tauranga, Mount Manganui 3116";Hortcare Lime Sulphur;Crop Management;Fungicide;31.07.2023
4547;Grosafe Chemicals Ltd;"Jean Batten Drive
20
Tauranga, Mount Manganui 3116";Hortcare Spinosad SC;Crop Management;Insecticide;31.07.2023
4547;Grosafe Chemicals Ltd;"Jean Batten Drive
20
Tauranga, Mount Manganui 3116";Hortcare Sulphur 800 DF;Crop Management;Fungicide;31.07.2023
4432;Horticentre Ltd;"Firth Street
10
Auckland, Papakura 2113";Hortcare Sulphur 800 DF;Crop Management;Fungicide;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";HSP 200c;Livestock Treatment;Homeopathic Preparation;31.07.2023
5082;Fertco 2016 Ltd;"Aviation Avenue
119
Mount Maunganui 3116";Humate;Soil & Plant Nutrition;Humate;31.07.2023
5006;Rorisons RMD Ltd;"Orchard Road
605
Hastings 4120";Humate 26%;Soil & Plant Nutrition;Humate;31.07.2023
5006;Rorisons RMD Ltd;"Orchard Road
605
Hastings 4120";Humate 26%;Soil & Plant Nutrition;Humate;31.07.2023
5006;Rorisons RMD Ltd;"Orchard Road
605
Hastings 4120";Humate 26%;Soil & Plant Nutrition;Humate;31.07.2023
5115;Mainland Minerals Southern Ltd;"Stratford Street
3
Gore 9710";Humate Powder;Soil & Plant Nutrition;Humate;31.07.2023
5006;Rorisons RMD Ltd;"Orchard Road
605
Hastings 4120";Humate S100;Soil & Plant Nutrition;Humate;31.07.2023
5006;Rorisons RMD Ltd;"Orchard Road
605
Hastings 4120";Humate S100;Soil & Plant Nutrition;Humate;31.07.2023
5006;Rorisons RMD Ltd;"Orchard Road
605
Hastings 4120";Humate S100;Soil & Plant Nutrition;Humate;31.07.2023
4769;New Zealand Humates Ltd;"Rangiuru Road
412
Te Puke 3182";HuMate Trimate;Soil & Plant Nutrition;Humate;31.07.2023
4969;Fernhill Limeworks Ltd;"Cooney Road
55
Winton 9782";Humates;Soil & Plant Nutrition;Humate;31.07.2023
5113;Soil Health Ltd;"District Road
50
Invercargill, Kennington 9871";Humates;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
2933;PGG Wrightson (Fruitfed Supplies);"Westwood Avenue
20
Blenheim, Springlands";Humax;Soil & Plant Nutrition;Humate;31.07.2023
3844;Roots, Shoots and Fruits Ltd;"Hastie Avenue
27
Auckland, Mangere Bridge 2022";Humax - Humic Acid;Soil & Plant Nutrition;Humate;31.07.2023
2933;PGG Wrightson (Fruitfed Supplies);"Westwood Avenue
20
Blenheim, Springlands";Humax Liquid;Soil & Plant Nutrition;Humate;31.07.2023
3844;Roots, Shoots and Fruits Ltd;"Hastie Avenue
27
Auckland, Mangere Bridge 2022";Humax Liquid - Humic Acid;Soil & Plant Nutrition;Humate;31.07.2023
4833;Dynamic Compost Tea Ltd;"Nayland Road
443
Nelson, Stoke 7040";Humins;Soil & Plant Nutrition;Compost;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Hydrastis 30c;Livestock Treatment;Homeopathic Preparation;31.07.2023
2933;PGG Wrightson (Fruitfed Supplies);"Westwood Avenue
20
Blenheim, Springlands";Hydrated lime;Crop Management;Fungicide;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";Hydrated lime (SKU# 1002738);Crop Management;Fungicide;31.07.2023
6213;Agvance Nutrition Ltd;"Alexandra Street
1587
Te Awamutu 3800";Hydroboracite;Soil & Plant Nutrition;;31.07.2023
6213;Agvance Nutrition Ltd;"Alexandra Street
1587
Te Awamutu 3800";Hydroboracite;Soil & Plant Nutrition;;31.07.2023
4974;Kiwi Fertiliser Co Ltd;"Alexandra Street
1495
Te Awamutu 3800";Hydroboracite Boron;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4974;Kiwi Fertiliser Co Ltd;"Alexandra Street
1495
Te Awamutu 3800";Hydroboracite Boron;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
4974;Kiwi Fertiliser Co Ltd;"Alexandra Street
1495
Te Awamutu 3800";Hydroboracite Boron;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Hyoscyamus 30c;Livestock Treatment;Homeopathic Preparation;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Hypericum 30c, 200c;Livestock Treatment;Homeopathic Preparation;31.07.2023
4885;IXOM Operations Pty Ltd;"Totara Street
166
Mt Manganui 3116";Hyprox 50HP and 500;Facility Management;Cleaning;31.07.2023
4885;IXOM Operations Pty Ltd;"Totara Street
166
Mt Manganui 3116";Hyshine;Facility Management;Cleaning;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Ignatia 30c, 200c;Livestock Treatment;Homeopathic Preparation;31.07.2023
433;Sustain-Ability TA EcoGrape Ltd;"View Mount
41
Nelson 7011";Ignatia C 30;Crop Management;Homeopathic Preparation;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Immunoglobulin 30c;Livestock Treatment;Homeopathic Preparation;31.07.2023
3515;Agrimm Technologies Ltd;"Tancreds Road
487
Lincoln 7672";Incursus;Soil & Plant Nutrition;Microorganisms;31.07.2023
3515;Agrimm Technologies Ltd;"Tancreds Road
487
Lincoln 7672";Incursus Field;Soil & Plant Nutrition;Microorganisms;31.07.2023
5115;Mainland Minerals Southern Ltd;"Stratford Street
3
Gore 9710";Industrial Fine Lime;Soil & Plant Nutrition;Mineral Fertiliser;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Inflammation Combo;Livestock Treatment;Homeopathic Preparation;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Injury Combo No.1;Livestock Treatment;Homeopathic Preparation;31.07.2023
5005;Homeopathic Farm Services Ltd;"Depot Street
2
TIrau 3410";Injury Combo No.2;Livestock Treatment;Homeopathic Preparation;31.07.2023
2933;PGG Wrightson (Fruitfed Supplies);"Westwood Avenue
20
Blenheim, Springlands";INOCBLOC;Crop Management;Pesticide;31.07.2023
4472;Farmlands Co-Operative Society Ltd;"Ruahapia Rd
233
Hastings, Farmlands Whakatu 4172";INOCBLOC (SKU# 1032171, 1022033);Crop Management;Pesticide;31.07.2023
4547;Grosafe Chemicals Ltd;"Jean Batten Drive
20
Tauranga, Mount Manganui 3116";InocBloc Organic Prune 'n' Paste;Crop Management;Pesticide;31.07.2023
364;Intelligro;"Manion Road
261
Christchurch, Weedons 7677";Intelligro Organic Compost ;Soil & Plant Nutrition;Compost;31.07.2023
364;Intelligro;"Manion Road
261
Christchurch, Weedons 7677";Intelligro Organic Growing Mix;Soil & Plant Nutrition;Soil/Potting Mix;31.07.2023
364;Intelligro;"Manion Road
261
Christchurch, Weedons 7677";Intelligro Organic Potting Mix ;Soil & Plant Nutrition;Soil/Potting Mix;31.07.2023
